Network,R0,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
22,1.15,51.15,31.4134127404,1.4048505259,10.988,7.5477053467,0.3375436446
23,1.15,49.8666666667,28.0780569832,1.2556888818,11.7,7.603814832,0.3400529371
24,1.15,36.5555555556,28.2709553001,1.2643155568,9.642,7.850722005,0.3510949615
26,1.15,31.3566936208,16.5762910285,1.3145853885,22.7735849057,11.1884512158,0.8873018978
27,1.15,34.8043478261,19.0834279198,1.349402129,19.16,9.0407079369,0.6392745889
28,1.15,30,20.0679119102,1.1703843901,14.6496598639,8.7499105857,0.5103051483
29,1.15,24.1989664083,12.4048502212,1.092186162,26.8682170543,11.7851436139,1.0376240376
30,1.15,56.4,31.0936935371,1.3905522484,10.158,6.9940714895,0.3127843858
31,1.15,35.1966873706,22.9827093783,1.2807763202,13.9099378882,9.662694511,0.5384809126
33,1.15,35.2428393524,19.572887897,1.3226131955,18.5753424658,10.433417257,0.7050250025
34,1.15,48.8534675615,25.0249645135,1.4496572713,15.8187919463,8.6808078764,0.5028656985
35,1.15,38.3164983165,22.622855283,1.3127112062,15.1986531987,9.457557052,0.5487831209
36,1.15,49.4,31.6368456076,1.4148427474,10.956,8.43931656,0.3774177102
37,1.15,29.2378673958,19.4402682214,1.1077120865,14.4448051948,9.3669877777,0.5337336634
38,1.15,31.1258278146,21.5601121358,1.2406450407,14.738410596,9.5924111901,0.5519812372
39,1.15,29.687778769,20.7423881343,1.2076685278,15.3491525424,10.4269919104,0.6070829399
40,1.15,36.9111969112,19.5072037934,1.4341981465,18.7297297297,9.3428644506,0.6869010556
41,1.15,34.8597359736,22.8554370462,1.3130105514,14.6435643564,9.3603166554,0.5377361417
42,1.15,40.7142857143,26.4759870667,1.4917528745,16.1873015873,10.2086096882,0.5751899942
43,1.15,35.0313901345,21.3934716446,1.4326128236,19.5022421525,11.3366244213,0.7591565218
44,1.15,32.1583775954,22.0971310474,1.2219741391,14.9602446483,9.4254654052,0.5212294279
45,1.15,28.5294117647,15.0503767671,1.1543112049,16.3352941176,8.3263890328,0.6386048872
46,1.15,31.8476190476,19.0951407194,1.3176898961,19.7952380952,10.6333248033,0.7337691228
49,1.15,63.56,31.3005814642,1.3998045578,13.41,8.0447436255,0.3597718722
50,1.15,44.5623342175,25.5246549252,1.4291063137,14.2946708464,8.4327137539,0.4721413278
51,1.15,45.775,30.1448482332,1.3481185964,10.592,8.0045946806,0.3579763568
