Network,T_value,Epidemic_size(%),SD,SE,Epidemic_duration,SD,SE
9,0.14,80.523255814,11.0216658617,0.5942483976,28.1773255814,7.7238273626,0.4164408621
10,0.14,28.0701754386,17.9363980122,1.1878669768,15.5570175439,9.8020448037,0.6491562754
11,0.14,12.5,1.3888888889,0.9820927516,43,9,6.3639610307
12,0.14,13.8513513514,2.3648648649,1.6722119825,28,6,4.2426406871
13,0.14,11.0824742268,0.2577319588,0.1822440158,23,3,2.1213203436
14,0.14,14.3518518519,4.4864214363,0.3904928636,12.0909090909,6.8107029689,0.5927956041
15,0.14,17.7755376344,8.2340354115,1.1884806403,27.5208333333,12.945381389,1.8685048574
17,0.14,70.9523182875,6.4676792633,0.3697326143,41.4444444444,9.38771892,0.5366601708
18,0.14,15.1595744681,5.0430718629,0.7356076344,14.5319148936,7.3161176306,1.067165436
19,0.14,31.8571428571,22.3565723341,0.9998163097,8.784,7.3013248113,0.3265251721
20,0.14,20.875,14.5618293837,0.6512248076,7.624,6.6599267263,0.2978409777
21,0.14,21.8285714286,13.2573891603,0.5928884673,7.078,5.4914402482,0.2455846738
22,0.14,19.625,12.2544634725,0.548036267,7.182,5.5078921558,0.2463204255
23,0.14,15.4444444444,8.0576625597,0.3603496245,6.92,5.5079578793,0.2463233647
24,0.14,24.8666666667,19.0559799111,0.8522093292,8.156,6.7060915592,0.2999055318
25,0.14,25.6,20.9150663398,0.9353502018,9.018,7.7514950816,0.3466573986
26,0.14,58.7959183673,24.7107296183,1.4767485499,25.5857142857,10.5458087235,0.6302326147
27,0.14,48.8657844991,22.8269381893,1.5051637309,22.3608695652,11.2352411065,0.74082986
28,0.14,31.7346938776,22.1862329472,1.2939273818,15.2823129252,10.3528838579,0.603792448
29,0.14,31.8957345972,16.5043494906,1.1362062761,28.0426540284,12.3535239928,0.8504516643
30,0.14,24.8333333333,14.3556028551,0.6420020768,7.124,5.7386953221,0.2566422568
31,0.14,27.183908046,16.427032717,1.0784875343,13.1293103448,8.6652597832,0.568902176
32,0.14,35.44,21.4664016547,0.9600066666,7.626,6.1743116215,0.27612361
33,0.14,47.0114531138,25.2616953003,1.5850597364,20.3267716535,11.5730949781,0.7261605627
34,0.14,29.6339563863,15.4840040607,1.058464727,13.0700934579,7.4808005338,0.5113769968
35,0.14,26.1212121212,16.4932019833,1.1119714509,13.2318181818,8.3462504572,0.562704091
36,0.14,21.95,15.3727843932,0.6874918181,7.32,5.851290456,0.2616776643
37,0.14,20.6698564593,13.089950719,0.8825242974,13.1454545455,8.1098552432,0.546766329
38,0.14,50.5504448801,29.9131241294,1.601212824,18.5042979943,10.8745442289,0.5821010069
39,0.14,46.5275615073,28.2319695858,1.5356167031,18.0177514793,10.2350906852,0.5567155407
40,0.14,25.670995671,13.08197604,1.2473174748,17.1636363636,8.5583848017,0.8160099733
41,0.14,38.122923588,24.1309981666,1.3908876113,15.4983388704,10.3867487086,0.5986822427
42,0.14,49.7133027523,27.7197742727,1.53290702,18.1773700306,10.9566441293,0.6059038048
43,0.14,61.1238670695,28.1822897319,1.5490387376,23.1480362538,10.8432593153,0.5959994337
44,0.14,21.5384615385,13.7857669377,0.8549569716,13.4,8.9688349299,0.5562235301
45,0.14,38.1787330317,21.0231468882,1.4141698956,19.8823529412,11.0525157711,0.7434726664
46,0.14,30.2512562814,17.1049725624,1.2125393562,18.1708542714,9.610032173,0.6812371187
47,0.14,32.8571428571,23.7761671101,1.0633025181,8.448,7.2082796838,0.3223640675
48,0.14,33.8,23.4237296584,1.0475410361,8.006,6.5840689547,0.294448515
49,0.14,14.36,7.575645187,0.3387931522,7.006,5.5416571529,0.247830442
50,0.14,25.5399772641,12.9145029222,0.9064204098,11.5221674877,7.177088013,0.5037328263
51,0.14,21.65,15.2488524158,0.6819494116,7.212,6.0470700343,0.2704331932
52,0.14,17.95,10.4724638935,0.4683428232,6.778,5.2654264785,0.2354770307
53,0.14,15.8588435374,6.5721446315,0.5420613532,11.6530612245,6.2766743016,0.5176913711
54,0.14,20.8436724566,8.2418001699,0.6619973201,12.1548387097,7.0226747367,0.5640748089
55,0.14,55.6654257794,28.1129324903,1.6044898052,23.0912052117,11.418803604,0.6517055443
56,0.14,19.3483275663,9.4629543845,0.662539328,12.5245098039,7.2911702747,0.5104840262
57,0.14,69.8552857493,12.2523875754,0.7050456781,40.5927152318,10.0190057757,0.5765289971
58,0.14,62.1113074205,24.1997170074,1.4385238597,28.890459364,11.8126727542,0.702190509
59,0.14,64.9659312135,20.3322387856,1.2419891575,31.7052238806,11.5790135504,0.7073008258
60,0.14,96.1593927894,2.8982134802,0.1405840036,30.0352941176,5.83306409,0.282945169
